1,Abdoun,Algeria,midfielder,16,0,6,0,0
2,Belhadj,Algeria,defender,270,1,146,8,0
3,Boudebouz,Algeria,midfielder,74,3,28,1,0
4,Bougherra,Algeria,defender,270,1,89,11,0
5,Chaouchi,Algeria,goalkeeper,90,0,17,0,2
6,Djebbour,Algeria,forward,123,3,19,1,0
7,Ghezzal,Algeria,forward,40,3,8,0,0
8,Guedioura,Algeria,midfielder,38,0,18,1,0
9,Halliche,Algeria,defender,270,2,94,4,0
10,Kadir,Algeria,midfielder,262,0,104,3,0
11,Lacen,Algeria,midfielder,270,0,158,8,0
12,M'Bolhi,Algeria,goalkeeper,180,0,30,0,12
13,Matmour,Algeria,midfielder,255,3,68,3,0
14,Mesbah,Algeria,midfielder,1,0,1,0,0
15,Saifi,Algeria,forward,15,1,3,0,0
16,Yahia,Algeria,defender,269,1,79,4,0
17,Yebda,Algeria,midfielder,269,8,138,10,0
18,Ziani,Algeria,midfielder,240,5,93,6,0
19,Aguero,Argentina,forward,106,2,57,2,0
20,Bolatti,Argentina,midfielder,98,2,97,4,0
21,Burdisso,Argentina,defender,341,1,167,1,0
22,Demichelis,Argentina,defender,450,1,218,7,0
23,Di Maria,Argentina,midfielder,356,7,148,12,0
24,Gutierrez,Argentina,midfielder,191,0,83,11,0
25,Heinze,Argentina,defender,360,3,188,6,0
26,Higuain,Argentina,forward,341,13,93,5,0
27,Mascherano,Argentina,midfielder,360,0,237,19,0
28,Maxi Rodriguez,Argentina,midfielder,346,2,218,9,0
29,Messi,Argentina,forward,450,21,321,10,0
30,Milito,Argentina,forward,91,0,33,0,0
31,Otamendi,Argentina,defender,250,0,141,6,0
32,Palermo,Argentina,forward,10,3,8,0,0
33,Pastore,Argentina,midfielder,37,2,44,3,0
34,Rodriguez,Argentina,defender,90,1,72,1,0
35,Romero,Argentina,goalkeeper,450,0,47,0,10
36,Samuel,Argentina,defender,114,2,43,1,0
37,Tevez,Argentina,forward,324,6,164,7,0
38,Veron,Argentina,midfielder,185,3,235,10,0
